zip
005|d123fe67
bananadr|d39f1488|Mahjong Banana Dream [BET] (Japan 891124)
bandido|17b4fe49|Bandido
bang|5dcaaec1|Bang!
bangball|4c149401|Bang Bang Ball (v1.05)
bangbead|44bedddb|Bang Bead
bangj|3014abdf|Gun Gabacho (Japan)
bankp|c891b681|Bank Panic
baraduke|d5d14c1d|Baraduke
barline|44ec04b7|Barline (Japan?)
barricad|dbf0eb1e|Barricade
barrier|73a5a935|Barrier
basebal2|afab8769|Baseball: The Season II
bassang2|58103c23|Bass Angler 2 (GE865 VER. JAA)
bassangl|786221d4|Bass Angler (GE765 VER. JAA)
batcir|ac3aab19|Battle Circuit (Euro 970319)
batcira|f708c2ec|Battle Circuit (Asia 970319)
batcird|13794a02|Battle Circuit (Euro 970319 Phoenix Edition) (bootleg)
batcirj|a85635a7|Battle Circuit (Japan 970319)
batlball|090f82d7|Battle Balls (Germany)
batlballa|b4f4af2e|Battle Balls (Asia)
batlballu|99bdfc90|Battle Balls (US)
batlbubl|21f11137|Battle Bubble (v2.00)
batman|5610200e|Batman
batman2|1e53a1d4|Batman Part 2
batrid|c02f688b|Armed Police Batrider (Europe) (Fri Feb 13 1998)
batridc|92e7f99b|Armed Police Batrider (China) (Fri Feb 13 1998)
batridj|6478f475|Armed Police Batrider - B Version (Japan) (Fri Feb 13 1998)
batridja|c1ec55f5|Armed Police Batrider - A Version (Japan) (Mon Dec 22 1997)
batridk|209f8c41|Armed Police Batrider (Korea) (Fri Feb 13 1998)
batridta|ea2395db|Armed Police Batrider - A Version (Taiwan) (Mon Dec 22 1997)
batridu|517f15c4|Armed Police Batrider (U.S.A.) (Fri Feb 13 1998)
battlane|d0076279|Battle Lane! Vol. 5 (set 1)
battlane2|ad02b8e0|Battle Lane! Vol. 5 (set 2)
battlane3|0212ede2|Battle Lane! Vol. 5 (set 3)
battlcry|207bb5e2|Battlecry
battlera|ddba2bd8|Battle Rangers (World)
battles|2e675e96|Battles
battlex|f6e61e07|Battle Cross
