zip
005|2bbd8481
assaultj|e6048c7a|Assault (Japan)
assaultp|21e53fe7|Assault Plus (Japan)
astdelu1|e182c9c1|Asteroids Deluxe (rev 1)
astdelux|0e9a1c91|Asteroids Deluxe (rev 2)
asterix|b160318c|Asterix (World ver. EAD)
asterock|444347c2|Asterock
asteroi1|f72cc87d|Asteroids (rev 1)
asteroib|f4f29606|Asteroids (bootleg on Lunar Lander hardware)
asteroid|3a05e23f|Asteroids (rev 2)
astinvad|d7cf09a8|Astro Invader
astormbl|c7c5cb44|Alien Storm (bootleg)
astrob|a2bebe9f|Astro Blaster (version 3)
astrob1|68199419|Astro Blaster (version 1)
astrob2|25873aa1|Astro Blaster (version 2)
astrof|9da569d3|Astro Fighter (set 1)
astrof2|5c8ad888|Astro Fighter (set 2)
astrof3|21ed6f0e|Astro Fighter (set 3)
astrofl|d700ddf0|Astro Flash (Japan)
astrxeaa|71a03b8c|Asterix (World ver. EAA)
astrxeac|c9381069|Asterix (World ver. EAC)
astyanax|bcf42d2b|The Astyanax
asuka|6d481cfa|Asuka and Asuka (Japan)
asurabld|73f9a4e6|Asura Blade - Sword of Dynasty
asurabus|38e53a8a|Asura Buster - Eternal Warriors
asylum|9599f01a|Asylum (prototype)
atarifb|866149f6|Atari Football (revision 2)
atarifb1|54235aec|Atari Football (revision 1)
atarifb4|6c115caa|Atari Football (4 players)
ataxx|6f3133f0|Ataxx (set 1)
ataxxa|57cddee8|Ataxx (set 2)
ataxxj|a155a588|Ataxx (Japan)
atehate|4902b75d|Athena no Hatena [Q]
atetckt2|d264a03f|Tetris (Cocktail set 2)
atetcktl|4045558a|Tetris (Cocktail set 1)
atetris|fa49b677|Tetris (set 1)
atetrisa|2b342bc1|Tetris (set 2)
atetrisb|17495fdd|Tetris (bootleg)
athena|8ac9bacc|Athena
atlantis|c4d48e44|Battle of Atlantis (set 1)
atlants2|a8094d33|Battle of Atlantis (set 2)
atomboy|c8d2ac4e|Atomic Boy
atomicp|bf009c9f|Atomic Point
atompunk|0db2804c|New Atomic Punk - Global Quest (US)
aurail|2adcc187|Aurail (set 1)
auraila|a58ab81b|Aurail (set 2)
avalnche|70e24341|Avalanche
avenger2|817ad10b|Avengers (US set 2)
avengers|5dad45ff|Avengers (US set 1)
avengrgs|5f0503a2|Avengers In Galactic Storm (US/Europe 1.0)
avengrgsj|3a8970c4|Avengers In Galactic Storm (Japan 1.2)
avsp|cf674535|Alien vs. Predator (Euro 940520)
avspirit|6707417d|Avenging Spirit
avspj|d968da10|Alien vs. Predator (Japan 940520)
avspu|a4b71ba4|Alien vs. Predator (USA 940520)
aztarac|ad36a737|Aztarac
azurian|e531aaa7|Azurian Attack
backfire|28fdb800|Backfire!
baddudes|c93499c3|Bad Dudes vs. Dragonninja (US)
badlands|971c231f|Bad Lands
bagman|b2334187|Bagman
bagmanmc|4d143fe6|Bagman (Moon Cresta hardware)
bagmans|3bf3f4a4|Bagman (Stern set 1)
bagmans2|e47b57bf|Bagman (Stern set 2)
bagnard|b6c032ac|Le Bagnard
bakatono|53271d9e|Bakatonosama Mahjong Manyuki
bakubaku|561fbfbf|Baku Baku Animal
bakubrkr|70628f86|Bakuretsu Breaker
bakuhatu|dbe39815|Mahjong Bakuhatsu Junjouden (Japan)
bakutotu|ac7ea7d4|Bakutotsu Kijuutei
balcube|2c3ccd56|Bal Cube
ballbomb|d8c9cbc6|Balloon Bomber
ballbros|c39a8a6e|Balloon Brothers
balonfgt|46a460f6|Vs. Balloon Fight
baluba|640d45af|Baluba-louk no Densetsu
bananadr|d39f1488|Mahjong Banana Dream [BET] (Japan 891124)
bandido|801c9f4e|Bandido
bang|58c9c466|Bang!
bangball|4c149401|Bang Bang Ball (v1.05)
bangbead|1ae944c3|Bang Bead
bangj|c530f5fa|Gun Gabacho (Japan)
bankp|d612a0f6|Bank Panic
baraduka|90640aac|Baraduke (set 2)
baraduke|7c98c942|Baraduke (set 1)
barricad|dbf0eb1e|Barricade
barrier|52e1705f|Barrier
baryon|a7f237a9|Baryon - Future Assault
basebal2|9d87b6dd|Baseball The Season II
batcir|bdee2401|Battle Circuit (Euro 970319)
batcirj|b799b6d9|Battle Circuit (Japan 970319)
batman|9dbd460a|Batman
batman2|1e53a1d4|Batman Part 2
