sms
20 em 1 (Brazil)|F0F35C22
E-SWAT (USA, Europe, Brazil) (Beta 2)|F7CA9801
E-SWAT (USA, Europe, Brazil) (Beta 3)|FD91CC7E
E-SWAT (USA, Europe, Brazil) (Rev A)|C10FCE39
E.I. - Exa Innova (Korea) (En) (Unl)|DD74BCF1
Eagles 5 (Korea) (Unl)|F06F2CCB
Earthworm Jim (Brazil)|C4D5EFC5
Ecco - The Tides of Time (Brazil)|7C28703A,028630
Ecco The Dolphin (Europe, Brazil)|6687FAB9,9029
Enduro Racer (Japan)|5D5C50B3,G-1322
Enduro Racer (USA, Europe, Brazil)|00E73541
Excellent Dizzy Collection, The (Europe) (En,Fr,De,Es,It) (Proto)|8813514B
F-1 Spirit - The Way to Formula-1 (Korea) (En) (Unl)|06965ED9
F-16 Fighter (USA, Europe, Brazil)|EAEBF323
F-16 Fighting Falcon (Japan)|7CE06FCE,C-508
F-16 Fighting Falcon (Taiwan) (Unl)|C4C53226
F-16 Fighting Falcon (USA)|184C23B7,4581
F1 (Europe, Brazil)|EC788661,MK-27072-50
FA Tetris (Korea) (Unl)|17AB6883
Family Games (Japan)|7ABC70E9,G-1342
Fantastic Dizzy (Europe) (En,Fr,De,Es,It)|B9664AE1,MK-27074
Fantasy Zone (Japan)|0FFBCAA3,G-1301
Fantasy Zone (Taiwan) (Unl)|5FD48352
Fantasy Zone (World) (Beta)|F46264FE
Fantasy Zone (World) (Rev 1)|65D7E4E0,5052
Fantasy Zone - The Maze (USA, Europe, Brazil)|D29889AD
Fantasy Zone II (USA, Europe, Brazil)|B8B141F9
Fantasy Zone II - Opa-Opa no Namida (Japan)|C722FB42,G-1329
Ferias Frustradas do Pica Pau (Brazil)|BF6C2E37
FIFA International Soccer (Brazil) (En,Es,Pt)|9BB3B5F9
Final Bubble Bobble (Japan)|3EBB7457,G-1362
Fire & Forget II (Europe)|F6AD7B1D,MK-27009
Fire & Ice (Brazil)|8B24A640
Flash, The (Europe, Brazil)|BE31D63F,7506
Flashpoint (Korea) (Unl)|61E8806F
Flintstones, The (Europe, Brazil)|CA5C78A5,MK-27013
Forgotten Worlds (Europe, Brazil)|38C53916,7056
Forgotten Worlds (Taiwan) (En) (Unl)|44136A72
Fushigi no Oshiro Pit Pot (Japan)|E6795C53,C-507
G-LOC Air Battle (Europe, Brazil)|05CDC24E,7071
Gaegujangi Ggachi (Korea) (Unl)|8B40F6BF
Gain Ground (Europe, Brazil)|3EC5E627,7045
Gain Ground (Europe, Brazil) (Beta)|D40D03C7
Galactic Protector (Japan)|A6FA42D0,G-1348
Galaxian (Korea) (Unl)|577EC227
Galaxy Force (Europe, Brazil)|A4AC35D8,5004
Galaxy Force (USA)|6C827520,5004
Game Box Serie Esportes Radicais (Brazil)|1890F407
Game de Check! Koutsuu Anzen (Japan) (Proto)|9AFAB511
Gangcheol RoboCop (Korea) (En) (Unl)|AD522EFD
Gangster Town (USA, Europe, Brazil)|5FC74D2A
Gauntlet (Europe, Brazil)|D9190956,25006
George Foreman's KO Boxing (Europe, Brazil)|A64898CE,MK-27041-50
Geraldinho (Brazil)|956C416B,021080
Ghost House (Japan)|C0F3CE7E,C-512
