pce
Hanii on the Road (Japan)|9897FA86,FA02-006
Hatris (Japan)|44E7DF53,MC91002
Heavy Unit (Japan)|EB923DE5,TP01004
Hisou Kihei - Xserd (Japan)|3E5CE025
Hisou Kihei X-Serd (Japan)|1CAB1EE6
Hit the Ice - VHL - The Official Video Hockey League (USA)|8B29C3AA,TGX030095
Hit the Ice - VHL - The Video Hockey League (Japan)|7ACB60C8,TP03019
Honoo no Toukyuuji - Dodge Danpei (Japan)|B01EE703,HC92059
Idol Hanafuda Fan Club (Japan) (Unl)|9EC6FC6C
Image Fight (Japan)|A80C565F,IC02003
Impossamole (USA)|E2470F5F,TGX040062
J.J. & Jeff (USA)|E01C5127,TGX020014
J.League Greatest Eleven (Japan)|0AD97B04,NB93008
Jack Nicklaus - Championship Golf (Japan)|EA751E82,JC63003
Jack Nicklaus' Turbo Golf (USA)|83384572,ATGX02JTTG
Jackie Chan (Japan)|C6FA6373,HC90032
Jackie Chan's Action Kung Fu (USA)|9D2F6193,TGX040079
Jaseiken Necromancer (Japan)|53109AE6,HC62005
Jaseiken Necromancer (Japan) (Virtual Console)|32C950BE
Jigoku Meguri (Japan)|CC7D3EEB,TP02013
Jinmu Denshou (Japan)|C150637A,BG01003
Juuouki (Japan)|C8C7D63E,H68G-1006
Kaizou Choujin Shubibinman (Japan)|A9084D6E,NCS89004
Kaizou Choujin Shubibinman 2 - Aratanaru Teki (Japan)|109BA474,NCS91001
Kato-chan Ken-chan (Japan)|6069C5E7,HC62006
Kattobi! Takuhai-kun (Japan)|4F2844B0,TON90004
Keith Courage in Alpha Zones (USA)|474D7A72,TGX020001
KickBall (Japan)|7E3C367B,NCS90004
Kiki Kaikai (Japan)|C0CB5ADD,TP02009
King of Casino (Japan)|BF52788E,JC63006
King of Casino (USA)|2F2E2240,TGX020033
Klax (Japan)|C74FFBC9,TG90001
Klax (USA)|0F1B59B4,TTGX20001
Knight Rider Special (Japan)|1109D8E3,C614116C,PV1003
Kore ga Pro Yakyuu '89 (Japan)|44F60137,IG89002
Kore ga Pro Yakyuu '90 (Japan)|1772B229,IG90001
Kung Fu, The (Japan)|B552C906,HC62001
Kung Fu, The (Japan) (Virtual Console)|3872C2B3
Kyuukyoku Mahjong - Idol Graphics (Japan) (Unl)|02DDE03E
Kyuukyoku Mahjong II (Japan) (Unl)|E5B6B3E5
Kyuukyoku Tiger (Japan)|09509315,TP01001
Lady Sword (Japan)|FF461DCD
Lady Sword - Ryakudatsu Sareta 10-nin no Otome (Japan) (Unl)|C6F764EC
Legend of Hero Tonma (Japan)|C28B0D8A,IC03005
Legend of Hero Tonma (USA)|3C131486,TGX040083
Legendary Axe II (USA)|220EBF91,TGX020048
Legendary Axe, The (USA)|2D211007,TGX020003
Lode Runner - Lost Labyrinth (Japan)|E6EE1468,PV1004
Maerchen Maze (Japan)|B7166358,A15A1F37,NC90008
Magical Chase (Japan)|DD0EBF8C,PL91001
Magical Chase (USA)|95CD2979,TGX040086
Mahjong Gakuen - Touma Soushirou Toujou (Japan)|F5B90D55,FA01-003
Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan)|F4148600,FA01-003
Mahjong Gokuu Special (Japan)|F8861456,SS90002
Mahjong Haouden - Kaiser's Quest (Japan)|DF10C895,UP03003
Mahjong Shikaku Retsuden - Mahjong Wars (Japan)|6C34AAEA,NB01001
Maison Ikkoku (Japan)|73C5ADF1,5C78FEE1,MC66680
Makai Hakkenden Shada (Japan)|017DE16D,DE89002,BE62EEF5
Makai Prince Dorabocchan (Japan)|B101B333,NX90007
Makyou Densetsu (Japan)|D4C5AF46,JC63001
Maniac Pro Wres - Asu e no Tatakai (Japan)|99F2865C,HC89025
Mashin Eiyuuden Wataru (Japan)|2F8935AA,HC63012
Mesopotamia (Japan)|E87190F1,AT03001
Metal Stoker (Japan)|25A02BEE,FA03-009
Military Madness (USA)|93F316F7,TGX030015
Mizubaku Daibouken (Japan)|B2EF558D,TP03020
Momotarou Densetsu Gaiden - Dai-1-shuu (Japan)|F860455C,HC92060
Momotarou Densetsu II (Japan)|D9E1549A,HC90040
Momotarou Densetsu Turbo (Japan)|625221A6,HC90034
Momotarou Katsugeki (Japan)|345F43E9,HC90031
Monster Pro Wres (Japan)|F2E46D25,AK91002
Morita Shougi PC (Japan)|2546EFE0,NAPH-1021
Moto Roader (Japan)|428F36CD,NCS89002
Moto Roader (USA)|E2B0D544,TGX020013
Moto Roader II (Japan)|0B7F6E5F,NPJJ-30044
Mr. Heli no Daibouken (Japan)|2CB92290,IC01002
Narazumono Sentou Butai - Bloody Wolf (Japan)|B01F70C2,DE89003
Naxat Open (Japan)|60ECAE22,NX89001
Naxat Stadium (Japan)|20A7D128,NX90006
Nazo no Mascarade (Japan)|0441D85A,NCS90003
Necros no Yousai (Japan)|FB0FDCFE,AK90001
Nectaris (Japan)|0243453B,HC63016
Nekketsu Koukou Dodgeball-bu - PC Bangai Hen (Japan)|65FDB863,NX90002
Nekketsu Koukou Dodgeball-bu - PC Soccer Hen (Japan)|F2285C6D,NX92001
Neutopia (Japan)|9C49EF11
Neutopia (USA)|A9A94E1B,TGX030029
Neutopia II (Japan)|2B94AEDC,NPJJ-30028
Neutopia II (USA)|C4ED4307,TGX060078
New Adventure Island (USA)|756A1802,TGX040080
NewZealand Story, The (Japan)|8E4D75A8,TP02007
NHK Taiga Drama - Taiheiki (Japan)|A32430D5,NV92001
Night Creatures (USA)|C159761B,TGX040069
Niko Niko Pun (Japan)|82DEF9EE,NV91001
Ninja Ryuukenden (Japan) (En,Ja,Zh)|67573BAC,HC92052
Ninja Spirit (USA)|DE8AF1C1,TGX040050
Ninja Warriors, The (Japan)|96E0CD9D,TP01002
Obocchama-kun (Japan)|4D3B0BC9,NC91001
Off the Wall (USA) (Proto)|8621AE02
Operation Wolf (Japan)|FF898F87,NAPH-1010
Ordyne (Japan)|8C565CB6,NC89004
Ordyne (USA)|E7BF2A74,TGX040022
Out Live (Japan)|2F1CEE20,5CDB3F5B,SS89001
Out Run (Japan)|E203F223,NAPH-1016
Override (Japan)|B74EC562,DE90006
P-47 - The Freedom Fighter (Japan)|7632DB90,AC89001
Pac-Land (Japan)|14FAD3BA,NC64002
Pac-Land (USA)|D6E30CCD,TGX020021
Pachio-kun - Juuban Shoubu (Japan)|4148FD7C,CJ92002
Paranoia (Japan)|9893E0E6,NX90001
Parasol Stars - The Story of Bubble Bobble III (Japan)|51E86451,TP03017
Parasol Stars - The Story of Bubble Bobble III (USA)|E6458212,TWG030701
Parodius Da! - Shinwa kara Owarai e (Japan)|647718F9,KM92003
PC Denjin - Punkic Cyborgs (Japan)|740491C2,HC92053
PC Genjin - Pithecanthropus Computerurus (Japan)|2CB5CD55
PC Genjin 2 - Pithecanthropus Computerurus (Japan)|3028F7CA
PC Genjin 2 - Pithecanthropus Computerurus (Japan) (Virtual Console)|D4CE3572
PC Genjin 3 - Pithecanthropus Computerurus (Japan)|A170B60E
PC Genjin 3 - Pithecanthropus Computerurus (Japan) (Sample)|6F6ED301
PC Pachi-Slot - Idol Gambler (Japan) (Unl)|0AA88F33
Populous (Japan)|083C956A,HC91041
Power Drift (Japan)|25E0F6E9,AS02002
Power Eleven (Japan)|3E647D8B,HC91039
Power Gate (Japan)|BE8B6E3B,PV100
Power Golf (Japan)|EA324F07,HC89018
Power Golf (USA)|ED1D3843,TGX030009
Power League '93 (Japan)|7D3E6F33,HC93064
Power League (Japan)|69180984,HC63011
Power League 4 (Japan)|30CC3563,HC91046
Power League 5 (Japan)|8B61E029,HC92057
Power League II (Japan)|C5FDFA89,HC89020
Power League III (Japan)|8AA4B220,HC90037
Power Sports (Japan)|29EEC024,HC92058
Power Tennis (Japan)|8DEF5AA1,HC93062
Pro Tennis - World Court (Japan)|11A36745,NC63004
Pro Yakyuu World Stadium '91 (Japan)|66B167A9,NC91002
Pro Yakyuu World Stadium (Japan)|34E089A9,NC63001
Psycho Chaser (Japan)|03883EE8,NX90003
Psychosis (USA)|6CC10824,TGX020040
Puzzle Boy (Japan)|FAA6E187,TJ03001
Puzznic (Japan)|965C95B3,TP02011
Quiz Toukou Shashin (Japan) (Unl)|F2E6856D
R-Type (USA)|91CE5156,TGX040011
R-Type I (Japan)|CEC3D28A
R-Type II (Japan)|F207ECAE
R-Type II (Japan) (v1.1)|417B961D
Rabio Lepus Special (Japan)|D8373DE6,VS-90003
Racing Damashii (Japan)|3E79734C,IC03006
Raiden (Japan)|850829F2,HC91049
Raiden (USA)|BC59C31E,TGX060075
Rastan Saga II (Japan)|00C38E69,TP02012
Rock-On (Japan)|2FD65312,BG1004
Ryuukyuu (Japan)|91E6896F,FA02-005
S.C.I. - Special Criminal Investigation (Japan)|09A0BFCC,TP03016
Sadakichi Seven - Hideyoshi no Ougon (Japan)|F999356F,HC63014
Saigo no Nindou - Ninja Spirit (Japan)|0590A156,IC02004
Salamander (Japan)|FAECCE20,KM91002
Samurai-Ghost (USA)|77A924B7,TGX040085
Sekigahara (Japan)|2E955051,TON90002
Sengoku Mahjong (Japan)|90E6BF49,HC63010
Shanghai (Japan)|6923D736,HC62004
Shinobi (Japan)|BC655CF3,AS01001
Shiryou Sensen - War of the Dead (Japan)|9CCFBB7A,469A0FDF,JC63002
Shockman (USA)|2774462C,TGX040087
Shougi Shodan Icchokusen (Japan)|23EC8970,HD90001
Shougi Shoshinsha Muyou (Japan)|457F2BC4,HD91013
SideArms (USA)|D1993C9F,RTGX10001
SideArms - Hyper Dyne (Japan)|E5E7B8B7,H54G-1004
Silent Debuggers (Japan)|616EA179,DE90004
